,0
2013-11-03,4689877.706681961
2013-11-04,3940046.604319954
2013-11-05,3838045.62703594
2013-11-06,3798386.4719983996
2013-11-07,3630906.2408916443
2013-11-08,4663955.837174708
2013-11-09,6495618.293398582
2013-11-10,5466217.530431206
2013-11-11,4409706.133142407
2013-11-12,4191699.221255235
2013-11-13,3965002.213671378
2013-11-14,3812175.13072131
2013-11-15,4683914.611525298
2013-11-16,6414461.955324471
2013-11-17,5434864.4336520955
2013-11-18,4477493.012183868
2013-11-19,4223093.34168819
2013-11-20,4033637.9725286905
2013-11-21,3741634.0696532056
2013-11-22,4786959.786678245
2013-11-23,6354490.812605529
2013-11-24,5263982.1536513185
2013-11-25,4292760.427325409
2013-11-26,3971345.9111415693
2013-11-27,3787860.837044983
2013-11-28,3651359.2472209516
2013-11-29,4649926.449271343
2013-11-30,6258338.825674901
2013-12-01,5177813.996078916
2013-12-02,3824739.4149933695
2013-12-03,3657235.0422426625
2013-12-04,3431374.5985430204
2013-12-05,3331914.1646308447
2013-12-06,4516541.627469867
2013-12-07,6253881.246016328
2013-12-08,5258575.604084231
2013-12-09,4449380.449928709
2013-12-10,4158188.542743189
2013-12-11,4142943.0096957036
2013-12-12,3943025.8906065375
2013-12-13,5067491.522192307
2013-12-14,6546418.239273312
2013-12-15,5535517.020839122
2013-12-16,4601736.804461208
2013-12-17,4282502.250680425
2013-12-18,4019767.072867257
2013-12-19,3866128.497138299
2013-12-20,4875269.472731102
2013-12-21,6370858.274371566
2013-12-22,5458076.231265666
2013-12-23,4231458.049556266
2013-12-24,4159434.1619793945
2013-12-25,3853165.147624548
2013-12-26,3683649.8817574303
2013-12-27,4636210.180033844
2013-12-28,6285089.248425345
2013-12-29,5233616.002324988
2013-12-30,4252547.25341166
2013-12-31,4027919.295179246
2014-01-01,3771023.3627834693
2014-01-02,3218092.9345800634
2014-01-03,4302271.829124261
2014-01-04,5983904.376681094
2014-01-05,5166808.1755926935
2014-01-06,4246272.27229576
2014-01-07,4100564.758608074
2014-01-08,3999571.033821967
2014-01-09,3928150.4477904597
2014-01-10,4846444.829202078
2014-01-11,6623276.443338671
2014-01-12,5662578.926757221
2014-01-13,4624369.116675959
2014-01-14,4474328.715354012
2014-01-15,4251292.164152081
2014-01-16,4109483.7432373925
2014-01-17,5092788.73609067
2014-01-18,6754389.798064125
2014-01-19,5628116.685437957
2014-01-20,4749118.78761588
2014-01-21,4516502.9026377
2014-01-22,4248287.111444834
2014-01-23,4022675.780162194
2014-01-24,5075748.821934395
2014-01-25,6552735.36401164
2014-01-26,5525847.047273517
2014-01-27,4523079.740827107
2014-01-28,4274676.91924419
2014-01-29,4169183.2374519818
2014-01-30,3854426.6783454986
2014-01-31,4888548.6106649935
2014-02-01,6487049.698118358
2014-02-02,5100460.37378179
2014-02-03,4167425.671518052
2014-02-04,3997942.3159079887
2014-02-05,4024873.4733271827
2014-02-06,3895002.09731557
2014-02-07,5111183.3083553985
2014-02-08,6710383.134883425
2014-02-09,5776120.722452425
2014-02-10,4738915.478482537
2014-02-11,4735709.512930389
2014-02-12,4331291.681367754
2014-02-13,4300573.838895808
2014-02-14,5159011.130548089
2014-02-15,6853250.798221913
2014-02-16,5855653.277222543
2014-02-17,4836776.81088329
2014-02-18,4621193.418909051
2014-02-19,4434950.558979762
2014-02-20,4317479.810192026
2014-02-21,5313014.166605613
2014-02-22,6701519.8485248
2014-02-23,5760278.982245027
2014-02-24,4803561.733868004
2014-02-25,4532640.824465728
2014-02-26,4336498.342850872
2014-02-27,4104964.4706284357
2014-02-28,5057997.511870781
2014-03-01,6587205.073756158
2014-03-02,5153409.345437615
2014-03-03,4344058.301079276
2014-03-04,4269378.925059358
2014-03-05,4096406.662938789
2014-03-06,4060125.4884331347
2014-03-07,5243257.387827553
2014-03-08,6925613.853359066
2014-03-09,5928657.99890815
2014-03-10,4982385.018428778
2014-03-11,4819610.400383178
2014-03-12,4760324.397088516
2014-03-13,4496608.333065436
2014-03-14,5467701.64013043
2014-03-15,7034859.261638214
2014-03-16,6080619.952715829
2014-03-17,5019838.170420662
2014-03-18,4794216.308358018
2014-03-19,4494738.003074502
2014-03-20,4335307.619593179
2014-03-21,5320975.443401738
2014-03-22,6897072.088913465
2014-03-23,5744763.24520095
2014-03-24,4738411.56973965
2014-03-25,4674524.294075054
2014-03-26,4333200.71125959
2014-03-27,4224472.0279260995
2014-03-28,4996145.326799157
2014-03-29,6667933.201290852
2014-03-30,5551043.169387049
2014-03-31,4549296.764365406
2014-04-01,4440415.333596311
2014-04-02,3797510.2034575595
2014-04-03,3591785.404294831
2014-04-04,4706774.378290038
2014-04-05,6502177.822582867
2014-04-06,5622475.0147949
2014-04-07,4775916.7251425935
2014-04-08,4595032.915390326
2014-04-09,4484548.685069087
2014-04-10,4243330.905198621
2014-04-11,5394141.085807844
2014-04-12,6950835.844179324
2014-04-13,5947149.794935517
2014-04-14,4890913.537724853
2014-04-15,4729568.372657367
2014-04-16,4457317.758540316
2014-04-17,4371401.8101669
2014-04-18,5357710.479286764
2014-04-19,6922617.298996629
2014-04-20,5964422.3234814415
2014-04-21,4814656.329993867
2014-04-22,4577226.72396814
2014-04-23,4446629.601754082
2014-04-24,4169251.3844199395
2014-04-25,5141414.290783482
2014-04-26,6711851.863743604
2014-04-27,5686478.519469271
2014-04-28,4535655.0717791
2014-04-29,4282565.450070151
2014-04-30,4181906.326794757
2014-05-01,3918712.087002535
2014-05-02,4613186.6744253235
2014-05-03,6192281.170985729
2014-05-04,5273021.028953042
2014-05-05,4459876.497209086
2014-05-06,4244292.26381895
2014-05-07,4185553.6674324055
2014-05-08,4208016.717481058
2014-05-09,5197087.669724565
2014-05-10,6924423.093849225
2014-05-11,5864081.923790451
2014-05-12,4853240.651181269
2014-05-13,4703902.965866628
2014-05-14,4470940.311190521
2014-05-15,4439458.708688174
2014-05-16,5366631.146323337
2014-05-17,7052211.036737617
2014-05-18,5872290.451268088
2014-05-19,4856891.066427663
2014-05-20,4594102.54477444
2014-05-21,4340348.236880653
2014-05-22,4171265.4349570596
2014-05-23,5060435.990976687
2014-05-24,6698956.435527937
2014-05-25,5628933.395665742
2014-05-26,4553916.943398928
2014-05-27,4389234.104532454
2014-05-28,4141267.962470353
2014-05-29,3978000.2705811136
2014-05-30,4914462.195880395
2014-05-31,6523597.5563779995
2014-06-01,5629995.834855199
2014-06-02,4188709.9293367933
2014-06-03,4028863.6563891987
2014-06-04,3993452.961152147
2014-06-05,3908036.6535986387
2014-06-06,5060836.207213479
2014-06-07,6879781.259282033
2014-06-08,5962730.585132006
2014-06-09,4935660.643135069
2014-06-10,4709431.096065183
2014-06-11,4628744.225995188
2014-06-12,4346074.215807191
2014-06-13,5487349.095323951
2014-06-14,6937424.353046654
2014-06-15,5949600.662319736
2014-06-16,5026043.869090379
2014-06-17,4734717.831599809
2014-06-18,4657030.495215346
2014-06-19,4365127.870384759
2014-06-20,5346966.2419354245
2014-06-21,6941419.794723527
2014-06-22,5989772.0964045925
2014-06-23,4896906.912213493
2014-06-24,4591093.663176792
2014-06-25,4297935.428430346
2014-06-26,4165937.1482738713
2014-06-27,5071429.916910621
2014-06-28,6630022.049488079
2014-06-29,5510204.139087367
2014-06-30,4437947.650847997
2014-07-01,4234719.350078213
2014-07-02,3593048.222908421
2014-07-03,3441655.148033285
2014-07-04,4578064.659422907
2014-07-05,6386711.173644576
2014-07-06,5613296.442299398
2014-07-07,4640399.3320997
2014-07-08,4601150.52512473
2014-07-09,4391716.539282286
2014-07-10,4303465.328278793
2014-07-11,5265655.55931453
2014-07-12,6845354.787170788
2014-07-13,5868030.616285846
2014-07-14,4876724.82223647
2014-07-15,4668781.171952612
2014-07-16,4540792.245340009
2014-07-17,4228131.090827018
2014-07-18,5331994.290001466
2014-07-19,6940944.97635224
2014-07-20,5800486.406776517
2014-07-21,4799713.115155041
2014-07-22,4566947.710044888
2014-07-23,4377705.0428794315
2014-07-24,4050211.5098442137
2014-07-25,5111670.506925888
2014-07-26,6713534.508843345
2014-07-27,5612976.254063136
2014-07-28,4581637.698042477
2014-07-29,4389450.515856552
2014-07-30,4060585.1706687296
2014-07-31,3973435.3794352454
2014-08-01,4869238.791478154
2014-08-02,6100662.977429547
2014-08-03,5248634.770250998
2014-08-04,4323198.193643124
2014-08-05,4294695.884679528
2014-08-06,4129430.2846856737
2014-08-07,4083571.8746283827
2014-08-08,5150533.915770573
2014-08-09,6877373.906047856
2014-08-10,5953944.885399274
2014-08-11,4960606.088698843
2014-08-12,4774116.897651596
2014-08-13,4505021.805329632
2014-08-14,4388570.365533537
2014-08-15,5360677.13024819
2014-08-16,6854379.723277609
2014-08-17,5809991.5236884225
2014-08-18,4817773.43791299
2014-08-19,4690603.539650643
2014-08-20,4392304.3700982565
2014-08-21,4223130.690308429
2014-08-22,5215252.093157549
2014-08-23,6789891.122277904
2014-08-24,5720955.080844706
2014-08-25,4726324.864925158
2014-08-26,4632126.219879945
2014-08-27,4325302.809895223
2014-08-28,4139368.6262689424
2014-08-29,4974291.876902064
2014-08-30,6550700.942210203
2014-08-31,5596309.635527916
2014-09-01,4598488.966420558
2014-09-02,4044984.133059246
2014-09-03,3723662.039623549
2014-09-04,3788607.4745966154
2014-09-05,4965294.259284201
2014-09-06,6713024.01149132
2014-09-07,5780908.413225336
2014-09-08,4741071.106024393
2014-09-09,4694754.693429934
2014-09-10,4529230.700485606
2014-09-11,4520662.030041293
2014-09-12,5356265.892405209
2014-09-13,7004866.197791065
2014-09-14,5958552.785260893
2014-09-15,5049641.27489934
2014-09-16,4756674.229510023
2014-09-17,4633043.519414679
2014-09-18,4456602.010008833
2014-09-19,5354264.233252916
2014-09-20,6897663.0697318725
2014-09-21,5829152.231276817
2014-09-22,4909882.431887975
2014-09-23,4674049.417478339
2014-09-24,4497896.983862639
2014-09-25,4232224.739270477
2014-09-26,5257915.390240948
2014-09-27,6831170.164109596
2014-09-28,5785417.258807324
2014-09-29,4788914.14324193
2014-09-30,4459259.862553503
2014-10-01,4341878.544075078
2014-10-02,3759398.0758005017
2014-10-03,4661757.040524627
2014-10-04,6430002.286233578
2014-10-05,5536350.706980266
2014-10-06,4798782.163820013
2014-10-07,4668730.7197351605
2014-10-08,4629902.628377169
2014-10-09,4394396.581496081
2014-10-10,5585216.102730232
2014-10-11,7292571.995955618
2014-10-12,6269131.1535601355
2014-10-13,5395118.376216836
2014-10-14,5078172.103177048
2014-10-15,5029454.8409521505
2014-10-16,4816161.6847706055
2014-10-17,5806317.249694462
2014-10-18,7285907.387834641
2014-10-19,6371059.488081831
2014-10-20,5375261.755639159
2014-10-21,5102552.848376422
2014-10-22,4950495.194759981
2014-10-23,4746825.622507394
2014-10-24,5671713.5026685335
2014-10-25,7269078.270775051
2014-10-26,6209247.256149647
2014-10-27,5221836.337907
2014-10-28,4947989.08184837
2014-10-29,4882759.806865766
2014-10-30,4638388.041385218
2014-10-31,5562428.784732759
2014-11-01,7149333.925236829
2014-11-02,5856379.554545115
2014-11-03,4846381.054604384
2014-11-04,4819910.971686431
2014-11-05,4764353.307442882
2014-11-06,4678373.602884274
2014-11-07,5807193.636848715
2014-11-08,7482291.035340663
2014-11-09,6584793.113386161
2014-11-10,5722427.849112476
2014-11-11,5477734.833722774
2014-11-12,5207867.6374221025
2014-11-13,4996301.004551531
2014-11-14,5878778.375883849
2014-11-15,7497930.147218519
2014-11-16,6492896.894410121
2014-11-17,5547285.075900636
2014-11-18,5189787.91962918
2014-11-19,4860194.297096895
2014-11-20,4760170.826768416
2014-11-21,5723684.567020829
2014-11-22,7154942.653775406
2014-11-23,6142706.526597081
2014-11-24,5073922.59291517
2014-11-25,4848729.031891881
2014-11-26,4689612.258530364
2014-11-27,4424295.013979229
2014-11-28,5419775.469292315
2014-11-29,7023033.081626485
2014-11-30,5984535.028009779
2014-12-01,4875701.224503807
2014-12-02,4362019.004856058
2014-12-03,4099245.34645083
2014-12-04,4134849.1325391433
2014-12-05,5277747.734312505
2014-12-06,7015316.519921443
2014-12-07,6196146.793274752
2014-12-08,5168906.442143941
2014-12-09,5054528.361684125
2014-12-10,4988571.893239557
2014-12-11,4810489.316552002
2014-12-12,5815644.518974231
2014-12-13,7378104.312967996
2014-12-14,6323334.136912686
2014-12-15,5378946.7794189565
2014-12-16,5177910.353090435
2014-12-17,4993418.234787062
2014-12-18,4783115.928404081
2014-12-19,5785591.78484928
2014-12-20,7441509.798295178
2014-12-21,6230439.380716855
2014-12-22,5226402.8801011015
2014-12-23,4992858.846239268
2014-12-24,4769040.547816856
2014-12-25,4535958.368310388
2014-12-26,5560281.441026575
2014-12-27,7124007.62456621
2014-12-28,5963118.934572812
2014-12-29,4936333.188449423
2014-12-30,4718311.866271244
2014-12-31,4550838.301696322
2015-01-01,4358269.619620303
2015-01-02,4969338.913409958
2015-01-03,6680174.130013062
2015-01-04,5702672.663912028
2015-01-05,4830664.351298794
2015-01-06,4920487.1841315245
2015-01-07,4906439.455465329
2015-01-08,4742206.158701241
2015-01-09,5851293.995268536
2015-01-10,7373469.552883656
2015-01-11,6424859.035482086
2015-01-12,5505967.670217381
2015-01-13,5268230.905909076
2015-01-14,5118693.782075488
2015-01-15,4764885.531913432
2015-01-16,5778199.4819837585
2015-01-17,7442973.190514512
2015-01-18,6379026.310267822
2015-01-19,5316170.9390396355
2015-01-20,5032318.17002506
2015-01-21,4875969.330110102
2015-01-22,4669716.165115397
2015-01-23,5594149.011511604
2015-01-24,7168073.181669986
2015-01-25,6083052.290618373
2015-01-26,4971945.25980227
2015-01-27,4867101.958174844
2015-01-28,4530746.012026037
2015-01-29,4350028.803949944
2015-01-30,5370588.705990284
2015-01-31,7011671.136605267
2015-02-01,5987272.722512148
2015-02-02,4628981.670549358
2015-02-03,4437870.2781326715
2015-02-04,4381537.115645906
2015-02-05,4407056.939066221
2015-02-06,5501159.682052698
2015-02-07,7225177.130491725
2015-02-08,6306510.690592128
2015-02-09,5316151.761238292
2015-02-10,5132858.790362034
2015-02-11,4826988.436284697
2015-02-12,4684756.172152068
2015-02-13,5719852.578906355
2015-02-14,7380226.389416293
2015-02-15,6232240.415940705
2015-02-16,5164533.846474469
2015-02-17,4931234.754890128
2015-02-18,4789527.939368297
2015-02-19,4418326.495805659
2015-02-20,5424991.991360364
2015-02-21,7183420.573893356
2015-02-22,5991237.554445615
2015-02-23,5043313.837841953
2015-02-24,4803544.035863918
2015-02-25,4591509.662789806
2015-02-26,4337627.8678907445
2015-02-27,5181596.061107677
2015-02-28,6854397.48420529
2015-03-01,5684924.4602904795
2015-03-02,4326486.428601711
2015-03-03,4204516.609308069
2015-03-04,4082522.7211936717
2015-03-05,4181878.175789919
2015-03-06,5189535.803189503
2015-03-07,6983718.029019007
2015-03-08,5990757.713435634
2015-03-09,5093018.254817437
2015-03-10,4916108.460644095
2015-03-11,4841787.4599291375
2015-03-12,4611315.339567811
2015-03-13,5642353.575986985
2015-03-14,7144206.503757241
2015-03-15,6189256.721271619
2015-03-16,5057379.162698666
2015-03-17,4858372.076200657
2015-03-18,4663679.70832124
2015-03-19,4356964.525135637
2015-03-20,5372060.698004423
2015-03-21,6926880.64382326
2015-03-22,5869012.125257077
2015-03-23,4840713.566859891
2015-03-24,4715362.28500454
2015-03-25,4559318.558048951
2015-03-26,4349370.476609727
2015-03-27,5183014.499335136
2015-03-28,6649473.551171766
2015-03-29,5668896.2121534515
2015-03-30,4660838.591669906
2015-03-31,4422991.099879209
2015-04-01,4144091.076143774
2015-04-02,3781823.0419372683
2015-04-03,4677738.605572431
2015-04-04,6444946.79827076
2015-04-05,5639074.995364558
2015-04-06,4781463.878045133
2015-04-07,4584862.2611569
2015-04-08,4585844.356471553
2015-04-09,4391711.757862824
2015-04-10,5457877.32914275
2015-04-11,6972087.977818361
2015-04-12,6044478.085000689
2015-04-13,5020032.273468795
2015-04-14,4736902.047079238
2015-04-15,4592826.610528067
2015-04-16,4410452.107092949
2015-04-17,5335221.536218528
2015-04-18,6907526.452908721
